,gain_rank,mean_gain,mean_nsplits,gain_sar_worthy,nsplits_sar_worthy,gain_typology_structuring,nsplits_typology_structuring,gain_typology_rapid_movement,nsplits_typology_rapid_movement,gain_typology_funnel_account,nsplits_typology_funnel_account,gain_typology_trade_based,nsplits_typology_trade_based,gain_typology_shell_company,nsplits_typology_shell_company,gain_typology_round_tripping,nsplits_typology_round_tripping
fund_exit_tier,1,0.39368984,59.714285714285715,0.55856717,66.0,0.4435387,47.0,0.2331418,45.0,0.18683966,62.0,0.46312547,79.0,0.09668772,71.0,0.7739283,48.0
time_to_first_outbound_minutes_log,2,0.21761511,607.1428571428571,0.046741184,596.0,0.23532167,431.0,0.19359022,553.0,0.32855302,570.0,0.2516313,923.0,0.3648098,878.0,0.10265862,299.0
burst_x_exit,3,0.16204298,572.8571428571429,0.23980497,526.0,0.08834553,375.0,0.44149694,543.0,0.09364526,571.0,0.04937278,940.0,0.13838048,846.0,0.083254844,209.0
burst_tier,4,0.0808565,7.428571428571429,0.042448457,9.0,0.08863298,3.0,0.027026601,2.0,0.18397066,16.0,0.07068693,17.0,0.1532299,5.0,0.0,0.0
burst_score,5,0.055242576,543.5714285714286,0.04607978,514.0,0.07820339,349.0,0.04153684,498.0,0.057169273,446.0,0.06852437,929.0,0.07858869,865.0,0.016595693,204.0
burst_per_age,6,0.047738068,568.5714285714286,0.03653614,502.0,0.02245231,388.0,0.04106194,515.0,0.10737735,510.0,0.045708813,961.0,0.0672461,866.0,0.013783818,238.0
hr_country_x_exit,7,0.042814948,369.7142857142857,0.029822255,368.0,0.043505467,152.0,0.02214575,174.0,0.042444862,190.0,0.050950356,798.0,0.10105727,728.0,0.009778714,178.0
